# l, t, x, y
0 3.3035 0.4157 0.4197
0 3.3062 0.4157 0.4197
0 3.3287 0.4157 0.4197
0 3.3299 0.4157 0.4197
0 3.3569 0.4157 0.4228
0 3.3753 0.4157 0.4350
0 3.3941 0.4127 0.4534
0 3.3972 0.4112 0.4611
0 3.4194 0.4096 0.4749
0 3.4206 0.4096 0.4795
0 3.4451 0.4081 0.4871
0 3.4468 0.4081 0.4887
0 3.4685 0.4066 0.4902
0 3.4865 0.4066 0.4917
0 3.5113 0.4050 0.4917
0 3.5131 0.4050 0.4917
0 3.7247 0.4066 0.4917
0 3.7554 0.4096 0.4917
0 3.7818 0.4142 0.4902
0 3.8042 0.4265 0.4902
0 3.8286 0.4372 0.4902
0 3.8298 0.4433 0.4902
0 3.8519 0.4525 0.4902
0 3.8706 0.4632 0.4902
0 3.8719 0.4678 0.4902
0 3.8946 0.4755 0.4917
0 3.8961 0.4786 0.4917
0 3.9197 0.4862 0.4917
0 3.9213 0.4893 0.4917
0 3.9447 0.4954 0.4917
0 3.9462 0.4985 0.4917
0 3.9695 0.5031 0.4917
0 3.9712 0.5061 0.4917
0 3.9957 0.5107 0.4917
0 3.9971 0.5138 0.4917
0 4.0198 0.5184 0.4917
0 4.0212 0.5199 0.4917
0 4.0445 0.5260 0.4917
0 4.0464 0.5276 0.4917
0 4.0695 0.5322 0.4917
0 4.0716 0.5352 0.4917
0 4.0949 0.5414 0.4917
0 4.0963 0.5444 0.4917
0 4.1200 0.5506 0.4917
0 4.1218 0.5551 0.4917
0 4.1450 0.5628 0.4917
0 4.1465 0.5674 0.4917
0 4.1688 0.5751 0.4917
0 4.1868 0.5827 0.4917
0 4.1881 0.5858 0.4917
0 4.2109 0.5919 0.4917
0 4.2130 0.5934 0.4917
0 4.2363 0.5980 0.4902
0 4.2375 0.5996 0.4902
0 4.2611 0.6026 0.4902
0 4.2625 0.6042 0.4902
0 4.2862 0.6057 0.4887
0 4.2875 0.6072 0.4887
0 4.3111 0.6088 0.4887
0 4.3130 0.6088 0.4887
0 4.4399 0.6088 0.4887
0 4.4630 0.6072 0.4902
0 4.4646 0.6072 0.4917
0 4.4879 0.6057 0.4948
0 4.4895 0.6057 0.4963
0 4.5122 0.6042 0.4994
0 4.5135 0.6042 0.5009
0 4.5368 0.6026 0.5086
0 4.5382 0.6026 0.5132
0 4.5620 0.6026 0.5270
0 4.5635 0.6026 0.5316
0 4.5867 0.6026 0.5438
0 4.5881 0.6026 0.5499
0 4.6122 0.6026 0.5607
0 4.6136 0.6026 0.5653
0 4.6370 0.6026 0.5714
0 4.6383 0.6026 0.5744
0 4.6613 0.6026 0.5806
0 4.6631 0.6026 0.5836
0 4.6866 0.6026 0.5882
0 4.6879 0.6026 0.5913
0 4.7122 0.6026 0.5974
0 4.7136 0.6026 0.6020
0 4.7363 0.6026 0.6097
0 4.7382 0.6026 0.6112
0 4.7618 0.6026 0.6173
0 4.7631 0.6026 0.6204
0 4.7863 0.6026 0.6265
0 4.7881 0.6026 0.6296
0 4.8120 0.6026 0.6342
0 4.8134 0.6026 0.6357
0 4.8370 0.6026 0.6373
0 4.8383 0.6026 0.6388
0 4.8619 0.6026 0.6403
0 4.9479 0.6026 0.6403
0 5.0223 0.6026 0.6403
0 5.0440 0.6026 0.6419
0 5.0631 0.6026 0.6434
0 5.0646 0.6026 0.6449
0 5.0859 0.6026 0.6495
0 5.0886 0.6026 0.6495
0 5.1112 0.6026 0.6526
0 5.1133 0.6026 0.6541
0 5.1361 0.6026 0.6556
0 5.1386 0.6026 0.6556
0 5.1609 0.6026 0.6572
