# l, t, x, y
0 2.9234 0.3499 0.4228
0 2.9470 0.3453 0.4213
0 2.9487 0.3422 0.4213
0 2.9728 0.3376 0.4197
0 2.9743 0.3346 0.4197
0 2.9967 0.3269 0.4182
0 2.9987 0.3238 0.4182
0 3.0225 0.3162 0.4167
0 3.0237 0.3116 0.4167
0 3.0480 0.3055 0.4151
0 3.0493 0.3009 0.4151
0 3.0717 0.2917 0.4136
0 3.0733 0.2871 0.4136
0 3.0970 0.2794 0.4121
0 3.0987 0.2748 0.4105
0 3.1219 0.2687 0.4105
0 3.1236 0.2641 0.4090
0 3.1472 0.2580 0.4090
0 3.1484 0.2534 0.4075
0 3.1721 0.2457 0.4075
0 3.1737 0.2426 0.4075
0 3.1970 0.2335 0.4059
0 3.1987 0.2289 0.4059
0 3.2225 0.2227 0.4044
0 3.2238 0.2181 0.4044
0 3.2471 0.2105 0.4044
0 3.2484 0.2074 0.4044
0 3.2726 0.2013 0.4044
0 3.2739 0.1982 0.4044
0 3.2972 0.1921 0.4044
0 3.2985 0.1906 0.4044
0 3.3221 0.1844 0.4044
0 3.3238 0.1829 0.4044
0 3.3468 0.1783 0.4044
0 3.3489 0.1752 0.4044
0 3.3718 0.1706 0.4044
0 3.3738 0.1676 0.4044
0 3.3974 0.1645 0.4044
0 3.3987 0.1615 0.4044
0 3.4220 0.1569 0.4044
0 3.4234 0.1538 0.4044
0 3.4471 0.1492 0.4044
0 3.4484 0.1461 0.4044
0 3.4718 0.1415 0.4059
0 3.4738 0.1400 0.4059
0 3.4971 0.1354 0.4075
0 3.4985 0.1339 0.4075
0 3.5218 0.1324 0.4075
0 3.5236 0.1308 0.4075
0 3.5469 0.1278 0.4090
0 3.5487 0.1262 0.4090
0 3.5722 0.1247 0.4105
0 3.5734 0.1247 0.4105
0 3.5970 0.1216 0.4105
0 3.5983 0.1216 0.4121
0 3.6325 0.1216 0.4121
0 3.6509 0.1216 0.4121
0 3.6710 0.1216 0.4136
0 3.6892 0.1216 0.4136
0 3.7133 0.1216 0.4136
0 3.7387 0.1216 0.4151
0 3.7640 0.1216 0.4167
0 3.7656 0.1216 0.4167
0 3.7882 0.1232 0.4197
0 3.7900 0.1232 0.4213
0 3.8134 0.1232 0.4259
0 3.8160 0.1232 0.4274
0 3.8384 0.1232 0.4320
0 3.8408 0.1232 0.4335
0 3.8637 0.1232 0.4381
0 3.8655 0.1232 0.4412
0 3.8889 0.1232 0.4473
0 3.8910 0.1232 0.4519
0 3.9134 0.1232 0.4565
0 3.9158 0.1232 0.4611
0 3.9379 0.1232 0.4687
