# l, t, x, y
0 3.0663 0.5827 0.5407
0 3.0906 0.5827 0.5407
0 3.1658 0.5827 0.5423
0 3.1868 0.5797 0.5423
0 3.2053 0.5766 0.5438
0 3.2067 0.5735 0.5438
0 3.2303 0.5689 0.5453
0 3.2484 0.5582 0.5484
0 3.2718 0.5521 0.5499
0 3.2736 0.5490 0.5499
0 3.2967 0.5429 0.5515
0 3.3147 0.5368 0.5530
0 3.3168 0.5337 0.5530
0 3.3386 0.5276 0.5530
0 3.3400 0.5230 0.5530
0 3.3633 0.5184 0.5545
0 3.3813 0.5107 0.5561
0 3.3829 0.5061 0.5561
0 3.4052 0.4969 0.5561
0 3.4069 0.4939 0.5576
0 3.4307 0.4847 0.5576
0 3.4488 0.4786 0.5591
0 3.4502 0.4694 0.5591
0 3.4718 0.4602 0.5607
0 3.4733 0.4571 0.5607
0 3.4971 0.4479 0.5607
0 3.5151 0.4433 0.5622
0 3.5165 0.4341 0.5622
0 3.5386 0.4234 0.5637
0 3.5402 0.4188 0.5637
0 3.5636 0.4096 0.5637
0 3.5813 0.4050 0.5653
0 3.5830 0.3958 0.5653
0 3.6056 0.3882 0.5668
0 3.6068 0.3851 0.5668
0 3.6306 0.3775 0.5668
0 3.6491 0.3713 0.5683
0 3.6506 0.3698 0.5683
0 3.6717 0.3637 0.5683
0 3.6733 0.3606 0.5683
0 3.6977 0.3545 0.5699
0 3.7159 0.3499 0.5699
0 3.7173 0.3468 0.5699
0 3.7387 0.3407 0.5699
0 3.7401 0.3376 0.5699
0 3.7637 0.3315 0.5714
0 3.7820 0.3269 0.5714
0 3.7833 0.3238 0.5714
0 3.8051 0.3177 0.5714
0 3.8064 0.3146 0.5729
0 3.8304 0.3100 0.5729
0 3.8484 0.3055 0.5729
0 3.8497 0.3024 0.5744
0 3.8717 0.2993 0.5744
0 3.8732 0.2963 0.5744
0 3.8968 0.2917 0.5760
0 3.9150 0.2871 0.5760
0 3.9163 0.2840 0.5760
0 3.9383 0.2794 0.5775
0 3.9403 0.2763 0.5775
0 3.9639 0.2702 0.5775
0 3.9819 0.2656 0.5790
0 3.9838 0.2626 0.5790
0 4.0057 0.2549 0.5806
0 4.0070 0.2518 0.5806
0 4.0305 0.2457 0.5821
0 4.0485 0.2411 0.5836
0 4.0499 0.2365 0.5836
0 4.0716 0.2319 0.5852
0 4.0739 0.2289 0.5852
0 4.0970 0.2243 0.5852
0 4.1149 0.2166 0.5867
0 4.1384 0.2120 0.5882
0 4.1402 0.2089 0.5882
0 4.1638 0.2044 0.5882
0 4.1821 0.1967 0.5898
0 4.2054 0.1921 0.5898
0 4.2068 0.1890 0.5913
0 4.2306 0.1844 0.5913
0 4.2487 0.1783 0.5928
0 4.2717 0.1752 0.5928
0 4.2734 0.1737 0.5944
0 4.2968 0.1706 0.5944
0 4.3150 0.1661 0.5959
0 4.3164 0.1645 0.5959
0 4.3394 0.1615 0.5974
0 4.3406 0.1599 0.5974
0 4.3633 0.1569 0.5974
0 4.3814 0.1538 0.5990
0 4.3827 0.1523 0.5990
0 4.4054 0.1492 0.5990
0 4.4068 0.1492 0.5990
0 4.4301 0.1461 0.5990
0 4.4486 0.1446 0.5990
0 4.4499 0.1431 0.5990
0 4.4720 0.1415 0.5990
0 4.4971 0.1400 0.5990
0 4.5154 0.1400 0.5990
0 4.6416 0.1400 0.5990
0 4.6658 0.1415 0.5990
0 4.6673 0.1415 0.5974
0 4.6904 0.1446 0.5974
0 4.6918 0.1461 0.5959
0 4.7137 0.1477 0.5944
0 4.7317 0.1538 0.5898
0 4.7548 0.1569 0.5882
0 4.7568 0.1584 0.5852
0 4.7794 0.1630 0.5836
0 4.7973 0.1676 0.5790
0 4.8152 0.1722 0.5760
0 4.8164 0.1737 0.5744
0 4.8383 0.1783 0.5699
0 4.8396 0.1814 0.5683
0 4.8638 0.1875 0.5637
0 4.8818 0.1906 0.5622
0 4.8832 0.1952 0.5576
0 4.9047 0.2013 0.5545
0 4.9228 0.2059 0.5515
0 4.9242 0.2074 0.5499
0 4.9472 0.2120 0.5469
0 4.9656 0.2166 0.5438
0 4.9669 0.2197 0.5423
0 4.9885 0.2243 0.5407
0 4.9899 0.2258 0.5392
0 5.0137 0.2304 0.5362
0 5.0321 0.2335 0.5346
0 5.0335 0.2381 0.5316
0 5.0553 0.2442 0.5285
0 5.0566 0.2472 0.5270
0 5.0808 0.2534 0.5239
0 5.0991 0.2549 0.5224
0 5.1005 0.2610 0.5208
0 5.1223 0.2656 0.5162
0 5.1239 0.2672 0.5162
0 5.1470 0.2718 0.5132
0 5.1651 0.2748 0.5116
0 5.1664 0.2779 0.5086
0 5.1885 0.2825 0.5055
0 5.1900 0.2855 0.5040
0 5.2148 0.2901 0.5009
0 5.2165 0.2917 0.4994
0 5.2397 0.2978 0.4963
0 5.2413 0.2993 0.4948
0 5.2640 0.3055 0.4917
0 5.2823 0.3116 0.4871
0 5.3053 0.3162 0.4841
0 5.3086 0.3177 0.4841
0 5.3308 0.3223 0.4810
0 5.3489 0.3284 0.4764
0 5.3719 0.3315 0.4749
0 5.3755 0.3330 0.4749
0 5.3973 0.3361 0.4718
0 5.4155 0.3392 0.4703
0 5.4168 0.3407 0.4687
0 5.4385 0.3438 0.4672
0 5.4412 0.3453 0.4657
0 5.4646 0.3499 0.4642
0 5.4658 0.3514 0.4626
0 5.4885 0.3545 0.4611
0 5.4898 0.3575 0.4596
0 5.5135 0.3621 0.4565
0 5.5320 0.3683 0.4534
0 5.5335 0.3713 0.4519
0 5.5549 0.3775 0.4473
0 5.5563 0.3805 0.4458
0 5.5802 0.3866 0.4427
0 5.5984 0.3943 0.4381
0 5.5997 0.3974 0.4366
0 5.6219 0.4050 0.4320
0 5.6233 0.4081 0.4305
0 5.6470 0.4173 0.4259
0 5.6655 0.4234 0.4228
0 5.6668 0.4280 0.4197
0 5.6884 0.4341 0.4167
0 5.6908 0.4372 0.4136
0 5.7132 0.4449 0.4090
0 5.7313 0.4510 0.4044
0 5.7329 0.4540 0.4029
0 5.7552 0.4602 0.3983
0 5.7566 0.4648 0.3968
0 5.7802 0.4694 0.3937
0 5.7987 0.4755 0.3906
0 5.8001 0.4770 0.3891
0 5.8219 0.4816 0.3876
0 5.8236 0.4847 0.3860
0 5.8473 0.4877 0.3830
0 5.8656 0.4893 0.3830
0 5.8670 0.4908 0.3814
0 5.8890 0.4939 0.3799
0 5.8904 0.4939 0.3799
0 5.9134 0.4939 0.3799
0 6.0682 0.4954 0.3799
0 6.0961 0.4954 0.3814
0 6.1171 0.4939 0.3830
0 6.1394 0.4939 0.3845
0 6.1408 0.4939 0.3860
0 6.1636 0.4939 0.3876
0 6.1817 0.4939 0.3891
0 6.1831 0.4923 0.3922
0 6.2050 0.4923 0.3968
0 6.2068 0.4908 0.3998
0 6.2307 0.4908 0.4090
0 6.2491 0.4893 0.4136
0 6.2506 0.4877 0.4228
0 6.2717 0.4862 0.4305
0 6.2733 0.4847 0.4350
0 6.2970 0.4831 0.4412
0 6.3147 0.4816 0.4473
0 6.3160 0.4816 0.4504
0 6.3384 0.4801 0.4550
