# l, t, x, y
0 3.0446 0.2595 0.4228
0 3.0685 0.2595 0.4274
0 3.0697 0.2595 0.4289
0 3.0934 0.2595 0.4320
0 3.0946 0.2610 0.4350
0 3.1184 0.2610 0.4396
0 3.1196 0.2610 0.4442
0 3.1431 0.2641 0.4519
0 3.1605 0.2656 0.4580
0 3.1616 0.2672 0.4611
0 3.1849 0.2687 0.4672
0 3.1861 0.2687 0.4687
0 3.2095 0.2687 0.4703
0 3.2269 0.2687 0.4703
0 3.2281 0.2687 0.4718
0 3.2512 0.2702 0.4718
0 3.2685 0.2702 0.4718
0 3.2929 0.2702 0.4749
0 3.3104 0.2718 0.4810
0 3.3115 0.2733 0.4856
0 3.3351 0.2763 0.4979
0 3.3363 0.2779 0.5025
0 3.3592 0.2809 0.5132
0 3.3765 0.2840 0.5239
0 3.3777 0.2840 0.5285
0 3.4011 0.2871 0.5392
0 3.4186 0.2901 0.5484
0 3.4198 0.2917 0.5530
0 3.4432 0.2932 0.5622
0 3.4444 0.2947 0.5683
0 3.4685 0.2963 0.5729
0 3.4697 0.2978 0.5760
0 3.4933 0.2993 0.5836
0 3.4945 0.3009 0.5867
0 3.5185 0.3024 0.5944
0 3.5196 0.3039 0.5990
0 3.5428 0.3055 0.6066
0 3.5602 0.3085 0.6143
0 3.5615 0.3100 0.6189
0 3.5852 0.3116 0.6250
0 3.5864 0.3116 0.6281
0 3.6104 0.3131 0.6342
0 3.6116 0.3146 0.6388
0 3.6351 0.3146 0.6419
0 3.6363 0.3146 0.6434
0 3.6602 0.3146 0.6480
0 3.6614 0.3162 0.6510
0 3.6851 0.3162 0.6556
0 3.6863 0.3177 0.6572
0 3.7101 0.3177 0.6602
0 3.7112 0.3177 0.6602
0 3.7350 0.3177 0.6618
0 3.8583 0.3177 0.6618
0 3.8818 0.3177 0.6587
0 3.9036 0.3177 0.6541
0 3.9273 0.3177 0.6510
0 3.9285 0.3177 0.6480
0 3.9510 0.3177 0.6449
0 3.9685 0.3177 0.6388
0 3.9697 0.3177 0.6373
0 3.9936 0.3177 0.6327
0 3.9948 0.3192 0.6296
0 4.0184 0.3192 0.6219
0 4.0196 0.3208 0.6158
0 4.0435 0.3223 0.6066
0 4.0447 0.3238 0.6020
0 4.0684 0.3254 0.5898
0 4.0696 0.3269 0.5836
0 4.0935 0.3300 0.5729
0 4.0947 0.3300 0.5653
0 4.1187 0.3330 0.5530
0 4.1198 0.3346 0.5453
0 4.1433 0.3361 0.5331
0 4.1446 0.3376 0.5270
0 4.1686 0.3392 0.5178
0 4.1698 0.3407 0.5132
0 4.1935 0.3438 0.5025
0 4.1947 0.3453 0.4979
0 4.2183 0.3483 0.4887
0 4.2195 0.3499 0.4856
0 4.2425 0.3529 0.4764
